ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
NVR,Consumer Cyclical,15.267,14.7557,1.7834,4.8262,9.827,,0.0624,-0.05,-0.131,0.1736,0.1284,0.2289,0.3319,0.1828,0.2834,6.211,
NWS,Communication Services,36.5065,22.6272,1.7926,1.7828,14.447,,0.1112,0.055,-0.099,0.1706,0.1335,0.5667,0.0633,0.0394,0.3089,1.813,0.71
NWSA,Communication Services,31.6883,19.6408,1.6286,1.5475,12.711,,0.1223,0.055,-0.099,0.1706,0.1335,0.5667,0.0633,0.0394,0.3089,1.813,0.82
NXPI,Technology,24.441,11.6206,4.007,4.8919,14.508,0.6085,0.0383,0.072,-0.068,0.263,0.1647,0.5538,0.207,0.0801,1.1971,2.046,2.08
O,Real Estate,53.1709,35.434,10.0661,1.4732,17.16,,0.0461,0.11,0.412,0.4698,0.1837,0.9256,0.027,0.0227,0.735,1.245,5.2
ODFL,Industrials,40.9938,32.7697,7.5325,9.5786,23.926,2.7296,0.0191,-0.057,-0.105,0.2327,0.1862,0.3896,0.2393,0.1552,3.28,1.436,0.59
OKE,Energy,16.2915,14.6251,1.6536,2.4729,12.087,2.2234,0.013,0.295,-0.015,0.1698,0.1009,0.305,0.1549,0.0557,1.4645,0.705,4.71
OMC,Communication Services,,6.0063,1.3442,1.9445,10.244,15.9708,0.194,0.279,,0.1488,-0.0032,0.1857,0.0048,0.0377,0.8631,0.93,4.28
ON,Technology,214.4483,15.3847,4.1739,3.2154,14.371,0.2357,0.0623,-0.112,-0.487,0.1914,0.0202,0.3832,0.015,0.0502,0.4229,4.522,
ORCL,Technology,26.233,18.3597,6.5703,12.5476,20.026,0.9259,-0.053,0.217,0.245,0.3268,0.253,0.6708,0.5757,0.0634,4.1526,1.347,1.37
ORLY,Consumer Cyclical,30.7811,25.5871,4.3108,-100.7938,21.389,,0.0135,0.078,0.139,0.1877,0.1427,0.5159,,0.1376,,0.769,
OTIS,Industrials,22.2457,16.2059,2.1026,-5.6286,14.818,1.9297,0.0525,0.033,0.135,0.1565,0.0959,0.3059,,0.1352,,0.849,2.16
OXY,Energy,46.6444,20.46,2.892,2.2377,8.204,3.5901,0.0329,1.489,,0.1031,0.1077,0.6982,0.0593,0.0274,0.638,0.936,1.65
PANW,Technology,90.6722,41.1266,13.4613,12.2154,84.024,2.7373,0.0215,0.149,0.605,0.155,0.1296,0.735,0.1626,0.0345,4.887,1.045,
PAYX,Technology,20.2428,15.5349,8.2801,8.186,22.443,1.7565,,0.199,0.091,0.4438,0.2663,0.672,,,1.2491,1.152,4.71
PCAR,Industrials,26.235,17.4765,2.1875,3.2271,20.086,1.1821,0.0456,-0.137,-0.359,0.0921,0.0835,0.14,0.1292,0.0437,0.8194,2.168,1.12
PCG,Utilities,15.0593,9.8539,1.5664,1.2615,10.172,0.7716,-0.0874,0.026,-0.033,0.213,0.104,0.3958,0.0821,0.0243,1.8704,0.971,1.13
PEG,Utilities,19.3886,17.3536,3.3564,2.3994,14.411,2.4721,-0.0026,0.183,0.105,0.1808,0.1735,0.3482,0.1276,0.0339,1.4268,0.801,3.28
PEP,Consumer Defensive,26.1683,17.1724,2.2851,10.5178,14.208,1.6856,0.0384,0.056,0.675,0.1407,0.0877,0.5446,0.4285,0.0905,2.5808,0.853,3.62
PFE,Healthcare,20.8235,10.0315,2.5743,1.8621,8.375,13.7734,0.0834,-0.012,,0.2394,0.1242,0.7581,0.0889,0.0568,0.7796,1.16,6.07
PFG,Financial Services,17.1619,8.7832,1.2668,1.6481,10.794,,0.0525,-0.037,-0.409,0.1411,0.0758,0.4424,0.1052,0.0028,0.3492,1.51,3.47
PG,Consumer Defensive,21.1716,19.5557,3.9226,6.3629,14.515,3.9024,0.0396,0.015,-0.054,0.263,0.193,0.5119,0.3156,0.109,0.6872,0.724,2.95
PGR,Financial Services,10.1534,12.1074,1.3054,3.7739,7.518,29.9188,0.1034,0.122,0.252,0.165,0.129,0.1855,0.4045,0.0792,0.2342,0.356,7.12
PH,Industrials,33.1167,26.6818,5.6015,8.0086,23.155,3.6862,0.0216,0.091,-0.09,0.2172,0.1729,0.3743,0.2578,0.0944,0.6892,1.182,0.79
PHM,Consumer Cyclical,10.5477,10.385,1.3018,1.7408,7.202,1.0505,0.0665,-0.063,-0.421,0.1801,0.1282,0.2687,0.1767,0.1086,0.1845,7.55,0.89
PKG,Consumer Cyclical,23.8298,16.7794,2.0291,3.9404,11.517,1.6454,0.0227,0.101,-0.565,0.1356,0.0861,0.218,0.172,0.083,0.9493,3.166,2.45
PLD,Real Estate,37.5758,39.9604,13.5657,2.3395,25.378,104.4262,0.0382,0.04,0.063,0.4133,0.3621,0.7569,0.0613,0.0246,0.6178,0.598,3.2
PLTR,Technology,239.4516,79.7567,79.3369,48.0609,241.793,2.9358,0.0036,0.7,6.476,0.409,0.3631,0.8237,0.2598,0.116,3.063,7.11,
PM,Consumer Defensive,21.7769,17.1867,6.0619,-24.6262,15.639,1.806,0.0363,0.068,,0.3294,0.2792,0.6712,,0.1596,,0.958,3.72
PNC,Financial Services,12.753,10.2566,3.8348,1.5075,,2.2695,,0.096,0.291,0.3926,0.3108,0.0,0.1216,0.0123,,,3.21
PNR,Industrials,21.8372,14.717,3.3546,3.6206,14.365,1.2909,0.0428,0.049,0.016,0.2009,0.1566,0.4089,0.1748,0.0914,0.4564,1.607,1.21
PNW,Utilities,20.3366,18.2385,2.3253,1.7622,13.051,3.1302,-0.0485,0.03,,0.1099,0.1155,0.416,0.0906,0.024,2.0177,0.539,3.54
PODD,Healthcare,58.879,25.2834,5.3109,9.4913,26.0,1.4266,0.0108,0.312,0.039,0.1867,0.0912,0.7163,0.1812,0.0943,0.6618,2.814,
POOL,Industrials,18.686,17.0585,1.4114,6.2627,14.094,,0.0272,-0.005,-0.129,0.0532,0.0768,0.2973,0.3306,0.1037,1.2951,2.238,2.46
PPG,Basic Materials,14.9191,11.9487,1.4554,2.9047,10.902,1.3268,0.0233,0.05,,0.1111,0.0993,0.4162,0.2108,0.0639,0.9759,1.624,2.75
PPL,Utilities,24.3019,18.2709,3.2106,1.9501,13.392,1.5089,-0.046,0.028,0.499,0.1887,0.1306,0.4348,0.0816,0.031,1.3115,0.865,2.95
PRU,Financial Services,9.7678,6.3589,0.5546,1.0467,7.705,1.1281,0.3716,0.312,,0.1041,0.0584,0.296,0.1136,0.0042,1.2448,0.916,5.59
PSA,Real Estate,31.15,26.7611,10.1812,10.0448,18.664,4.0822,0.0483,0.033,-0.193,0.4621,0.3692,0.7472,0.1876,0.0705,1.0976,0.261,4.28
PSKY,Communication Services,317.3333,10.1157,0.3663,0.9151,8.857,1.3098,1.4966,0.021,,-0.0065,-0.0215,0.3183,-0.0086,0.0263,1.1711,1.257,2.1
PSX,Energy,16.346,12.147,0.5334,2.4296,13.824,1.0548,0.0179,0.013,2427.284,0.0275,0.0333,0.123,0.1543,0.0375,0.7138,1.296,2.88
PTC,Technology,21.0088,17.2441,5.9354,4.4138,14.799,1.4656,0.0464,0.214,1.044,0.338,0.2861,0.8423,0.2314,0.1124,0.3594,1.219,
PWR,Industrials,82.6888,36.4401,2.9453,9.3818,36.017,1.8358,0.0098,0.197,0.026,0.0523,0.0361,0.1501,0.1274,0.0455,0.711,1.136,0.08
PYPL,Financial Services,8.3808,7.8218,1.2789,2.0593,6.56,0.7151,0.0772,0.037,0.394,0.1748,0.1578,0.4148,0.2573,0.0488,0.607,1.287,1.24
Q,Technology,35.3121,26.7087,5.1392,3.4415,20.268,2.3721,0.0318,0.081,-0.528,0.2042,0.1456,0.4617,0.0798,0.0484,0.6143,1.945,0.12
QCOM,Technology,25.5645,11.4344,3.0184,5.9023,10.047,0.5402,0.077,0.05,-0.018,0.2747,0.1196,0.551,0.2148,0.1405,0.6422,2.505,2.81
RCL,Consumer Cyclical,17.5154,13.273,4.1601,7.3712,14.379,1.1311,-0.0026,0.133,0.371,0.2198,0.238,0.5062,0.4773,0.0781,2.1509,0.183,1.55
REG,Real Estate,27.2979,30.3137,8.9316,2.1014,18.971,2.6072,0.0467,0.089,1.419,0.3876,0.3274,0.7162,0.0768,0.0315,0.6939,0.618,3.92
REGN,Healthcare,18.3844,14.5124,5.6155,2.5008,17.088,1.6234,0.0405,0.025,-0.026,0.2313,0.3141,0.4457,0.1486,0.0591,9.511,4.126,0.49
RF,Financial Services,11.5087,9.2837,3.2394,1.2985,,1.616,,0.065,0.052,0.392,0.3056,0.0,0.1165,0.0136,,,3.95
RJF,Financial Services,13.9139,10.3886,1.9753,2.243,,0.8864,,0.057,-0.024,0.1974,0.1476,0.9298,0.1712,0.0245,0.4626,2.244,1.52
RL,Consumer Cyclical,23.6909,19.3335,2.6942,7.3017,15.853,1.5723,0.0271,0.122,0.249,0.2009,0.1173,0.6965,0.3385,0.0957,0.9897,2.099,1.05
